Date,Open,High,Low,Close,Volume
2017-01-02 07:00:00,7.79,7.8,7.78,7.79,1084942.9800000004
2017-01-02 07:01:00,7.79,7.8,7.79,7.8,417513.0800000002
2017-01-02 07:02:00,7.8,7.8,7.79,7.79,405.54000000000025
2017-01-02 07:03:00,7.79,7.79,7.78,7.79,1214707.8000000017
2017-01-02 07:04:00,7.79,7.8,7.79,7.8,518377.9599999999
2017-01-02 07:05:00,7.8,7.8,7.79,7.8,223925.4999999999
2017-01-02 07:06:00,7.8,7.81,7.8,7.81,1435933.9799999995
2017-01-02 07:07:00,7.81,7.81,7.8,7.8,1786653.4200000002
2017-01-02 07:08:00,7.8,7.8,7.79,7.8,1588781.9200000004
2017-01-02 07:09:00,7.79,7.79,7.78,7.78,2096070.78
2017-01-02 07:10:00,7.79,7.79,7.78,7.79,1103952.0000000002
2017-01-02 07:11:00,7.78,7.79,7.78,7.78,935329.16
2017-01-02 07:12:00,7.78,7.78,7.78,7.78,466924.48000000033
2017-01-02 07:13:00,7.78,7.78,7.77,7.77,883854.6600000001
2017-01-02 07:14:00,7.77,7.78,7.77,7.78,478022.6600000002
2017-01-02 07:15:00,7.78,7.78,7.78,7.78,46726.67999999999
2017-01-02 07:16:00,7.78,7.78,7.77,7.77,442401.8400000001
2017-01-02 07:17:00,7.77,7.78,7.77,7.78,566812.6400000002
2017-01-02 07:18:00,7.78,7.79,7.78,7.78,7861.799999999997
2017-01-02 07:19:00,7.78,7.78,7.78,7.78,225246.56
2017-01-02 07:20:00,7.78,7.78,7.77,7.77,841871.5600000004
2017-01-02 07:21:00,7.77,7.78,7.77,7.77,807347.6000000003
2017-01-02 07:22:00,7.77,7.78,7.77,7.77,513.3999999999999
2017-01-02 07:23:00,7.77,7.79,7.77,7.78,778544.64
2017-01-02 07:24:00,7.78,7.78,7.78,7.78,3158.6800000000003
2017-01-02 07:25:00,7.78,7.78,7.78,7.78,17536.11999999999
2017-01-02 07:26:00,7.78,7.78,7.78,7.78,31.12
2017-01-02 07:27:00,7.78,7.78,7.78,7.78,15.56
2017-01-02 07:28:00,7.78,7.78,7.78,7.78,15.56
2017-01-02 07:29:00,7.78,7.78,7.78,7.78,31.12
2017-01-02 07:30:00,7.78,7.79,7.78,7.78,51423.56
2017-01-02 07:31:00,7.78,7.79,7.78,7.78,79644.88
2017-01-02 07:32:00,7.78,7.78,7.78,7.78,15.56
